,of_the,in_the,there_was,of_course,that_they,with_a,and_the,from_the,he_was,everything_was,but_it,it_was,right_out,me_.,in_a,had_been,he_had,i_'ve,enough_to,an_old,not_be,was_an,of_this,which_he,over_the,were_sailing,it_had,as_it,as_i,he_is,now_.,we_shall,they_would,the_bottom,bottom_of,out_from,if_he,here_were,leaving_the,of_metal,of_steel,they_should,was_of,leaning_over,else_.,'ve_always,such_as,watching_the,would_kill,nerves_of,been_drawn,of_life,course_of,for_three,the_smoke,steel_.,were_scattered,this_paper,the_very,take_you,to_your,a_slow,street_and,nothing_else,away_to,three_hours,were_passing,and_shouting,somewhere_in,to_shake,in_life,down_upon,life_and,above_my,my_station,station_in,upon_my,still_.,a_soft,dressed_in,shall_take,filling_the,kill_me,i_hold,books_.,it_contained,suit_of,the_passage,laid_down,a_suit,my_books,delay_.,should_not,smoke_and,always_been,but_otherwise,it_without,the_box,scattered_over,passage_but,had_laid,box_but,were_enough,you_away,would_naturally,hours_we,becomes_a,the_existence,existence_of,passing_over,the_roots,roots_.,soft_cloth,reminded_of,was_deadly,is_funny,importance_that,despoiled_of,been_insulted,arranging_the,be_suspected,suspected_of,sailing_over,been_hanging,destroy_it,were_leaning,otherwise_they,and_packages,the_strand,forgetful_of,life_as,your_aunt,without_delay,been_transported,been_deposited,'s_at,cap_which,banished_or,or_torn,been_seduced,and_literature,retaining_the,the_ever-changing,been_proud,very_first,was_quietly,kaleidoscope_of,and_disgrace,literature_were,been_banished,uncertain_of,seduced_or,transported_above,a_colder,a_historical,flows_through,be_uncertain,be_reminded,old_historic,contained_nothing,cloth_cap,of_heather,clock_ticking,deposited_above,and_flows,insulted_or,a_double-edged,been_stifled,stifled_or,be_despoiled,drawn_above,a_nicer,fleet_street,aunt_'s,old_clock,strand_.,together_watching,hanging_above,is_violent,the_photograph,discs_of,we_strolled,at_harrow,strolled_about,ebbs_and,it_ebbs,old_mortal,naturally_destroy,funny_we,heather_tweed,harrow_.,quietly_dressed,old_skeleton,about_together,tweed_with,together_leaving,disgrace_would,packages_were,umbrellas_were,deadly_still,be_forgetful,and_umbrellas,first_importance,hold_here,ticking_loudly,been_hacked,is_petty,is_nourishing,soft_juicy,old_university,together_retaining,soft_shimmering,and_small-pox,small-pox_were,tilting_over,soft_humming
steel_.,45,17,1,0,2,9,12,9,5,1,1,10,0,0,5,3,2,1,1,0,0,1,3,2,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,56,0,1,1,0,0,0,1,0,2,0,0,0,0,0,153,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
were_scattered,91,32,3,0,1,11,39,9,4,0,2,11,0,0,8,13,3,0,1,1,0,0,3,2,32,0,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,192,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this_paper,25,16,2,1,0,3,6,6,5,0,1,3,0,0,6,4,1,1,1,0,1,1,23,2,1,0,1,0,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,137,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the_very,3208,2146,246,52,123,325,841,620,411,3,50,565,0,86,320,467,548,31,54,31,41,34,135,191,101,0,100,97,144,93,9,11,48,22,62,11,99,2,3,0,3,10,38,3,2,1,20,4,3,0,3,66,30,2,2,1,1,0,7988,1,22,2,11,6,5,2,3,0,2,7,13,13,29,0,0,1,13,4,1,11,1,3,2,2,1,1,9,15,2,3,0,1,27,6,10,0,6,9,0,0,5,0,0,0,2,0,1,4,31,2,2,0,0,3,0,0,1,0,0,0,0,2,0,0,0,1,1,0,2,1,6,1,3,1,1,1,0,0,0,0,3,0,0,0,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
take_you,66,51,0,5,1,14,23,10,4,0,5,13,0,24,19,3,3,13,8,0,4,1,4,0,6,0,3,3,18,11,7,7,1,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,917,25,0,0,0,4,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,28,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to_your,340,222,14,34,28,65,140,63,38,0,12,61,0,50,99,26,23,27,20,1,50,6,43,13,8,0,2,26,86,36,7,16,5,3,2,2,30,0,1,0,0,7,1,0,4,0,13,0,0,0,0,9,1,1,0,1,0,1,22,25,3737,1,1,4,8,0,0,0,0,1,8,1,13,1,1,0,6,1,0,0,4,0,0,3,2,2,3,3,1,1,0,1,12,0,3,0,4,6,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,21,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
a_slow,130,66,5,0,1,97,34,21,16,0,6,33,0,2,75,13,18,0,2,0,2,2,0,5,7,0,2,9,4,2,0,4,2,4,3,3,13,0,0,1,0,1,2,0,0,0,6,0,0,0,0,1,4,2,0,0,0,0,2,0,1,469,0,0,1,1,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
street_and,349,282,33,5,13,38,168,66,43,2,2,66,0,8,85,37,76,7,3,12,5,3,9,21,24,0,3,4,18,2,2,0,6,3,2,1,13,0,4,0,1,3,2,0,1,0,2,1,0,0,0,5,2,1,0,0,1,0,11,0,1,0,1046,0,3,1,1,1,1,3,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,6,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nothing_else,176,143,117,7,11,28,72,28,46,1,6,60,0,18,46,20,61,11,7,3,5,4,16,12,7,0,7,11,15,12,2,1,2,1,1,0,12,0,1,0,0,2,2,0,233,2,2,1,0,0,0,6,3,1,0,0,0,0,6,0,4,0,0,1170,1,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
away_to,362,224,31,5,18,53,197,59,77,0,6,85,0,15,63,66,88,2,5,5,5,2,7,18,32,1,12,21,19,14,1,3,11,1,1,2,18,0,5,0,0,2,3,0,6,0,3,1,0,0,3,4,3,1,5,0,0,0,5,4,8,1,3,1,1556,2,0,0,2,0,3,2,4,0,0,1,4,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,5,2,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
three_hours,134,102,7,2,5,21,38,19,13,1,2,44,1,5,22,37,26,5,3,0,1,1,4,7,9,0,3,3,8,5,2,3,2,3,1,1,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,4,58,1,0,0,0,2,0,0,1,1,1,2,496,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
were_passing,91,39,11,2,4,8,24,12,14,0,1,19,0,2,10,6,2,0,1,1,1,1,3,3,5,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and_shouting,49,55,8,2,3,12,27,3,11,0,0,11,1,3,11,5,5,0,0,2,0,0,1,2,3,0,0,1,3,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
somewhere_in,87,265,25,0,6,11,20,13,28,0,1,31,0,3,32,17,20,1,1,3,1,2,4,4,1,0,5,1,9,3,0,0,1,3,2,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,376,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to_shake,100,77,11,5,3,33,42,27,33,0,2,27,0,10,16,14,44,5,8,4,0,2,8,10,10,0,1,9,7,5,0,0,0,1,1,0,6,0,1,0,0,0,1,0,0,0,3,0,0,1,1,5,2,0,0,1,0,0,7,1,1,0,3,0,0,1,0,0,0,546,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_life,210,154,26,4,5,38,78,32,66,0,12,61,0,8,40,56,75,5,9,3,10,9,9,15,8,0,14,13,22,13,2,1,3,0,0,2,22,0,0,0,0,1,2,0,0,1,3,0,0,0,0,13,2,1,0,0,0,0,13,0,8,2,0,2,3,0,0,0,1,0,1168,0,137,1,2,27,0,1,0,2,1,0,1,0,1,0,0,2,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down_upon,556,329,42,11,25,117,209,145,73,0,10,94,0,37,81,46,74,2,10,5,5,7,17,18,40,0,9,25,28,5,1,2,3,10,7,8,16,1,2,1,0,2,5,1,0,0,2,2,0,1,0,3,1,3,2,1,2,0,13,1,1,0,0,0,2,1,0,0,0,0,0,1879,3,0,0,1,37,0,1,1,0,0,0,0,0,0,2,0,12,1,0,0,1,1,1,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
life_and,979,625,68,21,43,109,539,144,194,0,24,224,2,31,155,170,233,25,16,11,34,11,64,58,55,0,32,42,63,36,10,13,14,8,5,2,53,2,3,0,0,4,8,0,4,3,17,4,0,0,1,648,13,1,4,0,0,1,29,1,13,2,1,2,4,1,0,0,1,0,137,3,3281,0,1,5,8,0,0,1,0,1,0,1,0,2,0,2,1,0,0,0,5,6,5,0,0,0,0,0,3,0,0,1,2,0,0,3,4,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
above_my,29,18,8,2,1,2,12,5,0,0,0,8,0,4,5,2,3,1,0,1,0,2,0,0,2,0,1,1,7,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,130,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my_station,10,8,1,0,0,0,1,2,0,0,0,3,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
station_in,52,80,2,2,0,5,12,14,7,0,0,10,0,1,16,7,13,0,2,0,0,0,2,2,0,0,0,0,3,1,0,1,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,27,1,5,1,7,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upon_my,412,296,39,8,21,98,135,75,46,0,10,162,0,61,85,88,56,10,9,8,20,1,37,18,17,0,17,27,195,16,7,6,10,6,6,4,17,3,3,2,1,1,3,0,0,0,6,2,1,0,0,9,6,4,0,1,0,0,13,2,6,2,2,1,4,2,1,0,0,4,0,37,8,0,0,0,2621,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,11,0,2,1,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
still_.,100,83,23,5,2,24,73,16,38,18,1,49,0,0,25,22,30,2,4,4,1,5,0,4,8,0,6,4,12,4,0,0,2,4,3,2,7,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,2,1,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1095,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_soft,153,96,40,1,3,121,45,42,16,0,4,61,0,4,132,18,29,5,1,1,1,4,2,10,17,0,8,8,9,4,0,0,0,1,0,1,5,0,1,1,0,0,3,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,684,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
dressed_in,235,287,17,1,8,172,92,57,209,1,2,48,0,3,357,39,48,3,2,16,2,14,4,16,8,0,0,6,12,5,0,0,4,5,4,1,3,0,0,0,0,0,8,1,0,0,3,1,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,1,4,1053,1,0,0,0,0,0,45,1,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shall_take,69,27,2,1,0,5,22,7,3,0,0,1,0,8,11,2,3,5,2,0,1,0,5,2,1,0,1,1,10,1,1,32,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filling_the,67,41,4,0,2,32,23,23,9,0,1,10,0,0,14,12,12,0,0,2,1,1,2,4,5,0,1,1,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,189,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kill_me,15,15,1,1,2,9,12,4,8,0,4,7,1,76,6,5,7,2,1,1,0,0,3,2,2,0,0,2,4,4,4,1,6,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,410,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_hold,56,40,2,1,2,11,14,7,1,0,2,7,0,3,6,3,0,2,2,1,1,0,2,4,4,0,1,4,17,7,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,299,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
